feature,count,missing_pct,mean,std,min,p25,median,p75,max
signal_mc,15894,0.2635542168674699,129911.0452358436,2370273.4031429635,1587.514429046401,51391.25,80010.0,103743.5,200017789.58565727
signal_top_mc,15894,0.2635542168674699,304888.2887127217,5848132.21390461,0.0,79561.705,101200.0,140018.8275,416598078.51
signal_liquidity,15904,0.2008032128514056,33752.26654215897,53908.86848525119,0.0,25400.0,31830.436284898286,38100.0,4405583.869264066
signal_volume_1h,15933,0.01882530120481928,216358.59420838454,2492618.2090879334,0.0,28200.0,71400.0,154000.0,249346079.0
signal_holders,15907,0.18197791164658636,440.7269755453574,1054.3557067336503,0.0,156.0,306.0,472.0,75791.0
signal_bundled_pct,15274,4.154116465863454,12.185449537930374,16.447135122866577,0.0,3.4,6.643962845773001,11.1,231.57950494792883
signal_snipers_pct,9054,43.18524096385542,37.52641499214733,19.80505190894214,0.0,24.7,34.4,47.473187132795175,231.69591199976148
signal_sold_pct,12868,19.252008032128515,11.50889000331369,19.765362666904164,0.0,3.4,6.6,9.754545454545498,100.0
signal_fish_pct,15793,0.8973393574297189,16.263304652234844,19.23462722995875,0.0,0.0,12.0,23.0,158.9729914025436
signal_first_20_pct,15793,0.8973393574297189,37.96943555772503,20.798816973100127,0.0,23.0,34.0,48.285492936760626,359.0
security_encoded,15936,0.0,1.0828940763052208,0.8652368964935012,0.0,0.0,1.0,2.0,2.0
liq_to_mc_ratio,15886,0.3137550200803213,0.5250183224865576,0.36375612963487797,0.0,0.3574045347174502,0.4021687018576999,0.4972001453170603,6.230650154798762
vol_to_liq_ratio,15899,0.23217871485943772,4.907165395091313,10.445860111532017,0.0,0.9885391593398907,2.2880886426592797,4.891487727099751,354.4389782386241
mc_volatility,15894,0.2635542168674699,0.9182377307074657,9.283536085458099,-1.0,0.09006946845970373,0.23631826976468906,0.6707267530542389,882.76362080261
risk_score,15936,0.0,0.14097663866798255,0.14750768109119278,0.0,0.03733333333333333,0.10333333333333333,0.18733333333333335,1.8775847231589677
age_minutes,12663,20.53840361445783,1033.9397180762853,19744.556463365512,0.03333333333333333,2.0,6.0,12.0,807840.0
holder_concentration,15793,0.8973393574297189,37.96943555772503,20.798816973100127,0.0,23.0,34.0,48.285492936760626,359.0
signal_dev_sol,15225,4.461596385542169,20.61191821796348,65.9818354810229,0.0,0.0,2.0,9.486646089,1000.0
signal_fish_count,15793,0.8973393574297189,8.118850123472425,4.830877854581574,0.0,5.0,8.0,11.0,136.0
signal_bond,5753,63.89934738955824,6.383521640883018,23.47153410826849,0.0,1.0,1.0,2.0,487.0
signal_made,5753,63.89934738955824,624.2204067443073,2655.4603797971654,0.0,1.0,3.0,136.0,50384.0
